8.132E+00	2.305E-04
1.717E+01	2.305E-04
2.621E+01	3.842E-04
3.163E+01	8.452E-04
3.885E+01	1.460E-03
4.246E+01	2.075E-03
4.968E+01	3.150E-03
5.690E+01	4.072E-03
6.409E+01	6.992E-03
6.771E+01	7.300E-03
7.491E+01	9.912E-03
8.032E+01	1.099E-02
8.931E+01	1.437E-02
9.472E+01	1.575E-02
1.019E+02	1.790E-02
1.073E+02	2.144E-02
1.145E+02	2.328E-02
1.199E+02	2.497E-02
1.271E+02	2.789E-02
1.343E+02	3.050E-02
1.397E+02	3.235E-02
1.451E+02	3.404E-02
1.523E+02	3.619E-02
1.595E+02	3.757E-02
1.631E+02	3.896E-02
1.758E+02	3.911E-02
1.830E+02	4.049E-02
1.884E+02	3.957E-02
1.957E+02	3.880E-02
2.047E+02	3.650E-02
2.156E+02	3.527E-02
2.192E+02	3.435E-02
2.265E+02	3.220E-02
2.338E+02	2.881E-02
2.410E+02	2.759E-02
2.447E+02	2.543E-02
2.501E+02	2.359E-02
2.574E+02	2.159E-02
2.610E+02	1.944E-02
2.701E+02	1.806E-02
2.773E+02	1.683E-02
2.810E+02	1.544E-02
2.882E+02	1.391E-02
2.954E+02	1.329E-02
3.027E+02	1.176E-02
3.081E+02	1.068E-02
3.154E+02	9.759E-03
3.208E+02	8.836E-03
3.281E+02	8.222E-03
3.335E+02	7.607E-03
3.389E+02	6.839E-03
3.444E+02	6.224E-03
3.516E+02	5.917E-03
3.570E+02	5.609E-03
3.624E+02	5.148E-03
3.715E+02	4.687E-03
3.805E+02	4.226E-03
3.878E+02	3.765E-03
3.950E+02	3.611E-03
4.041E+02	3.304E-03
4.131E+02	2.997E-03
4.240E+02	2.382E-03
4.348E+02	2.228E-03
4.475E+02	2.075E-03
4.601E+02	1.921E-03
4.692E+02	1.614E-03
4.836E+02	1.460E-03
4.909E+02	1.306E-03
5.035E+02	1.153E-03
5.144E+02	1.153E-03
5.252E+02	9.989E-04
5.343E+02	6.915E-04
5.433E+02	8.452E-04
5.505E+02	8.452E-04
5.578E+02	6.915E-04
5.668E+02	6.915E-04
5.741E+02	5.379E-04
5.813E+02	5.379E-04
5.903E+02	3.842E-04
